"Type","BuyAmount","BuyCurrency","SellAmount","SellCurrency","FeeAmount","FeeCurrency","Exchange","ExchangeId","Group","Import","Comment","Date","NOKEquivalent","UpdatedAt"
"Trade","415.68696262","XRP","94.76","USD","0.24","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-10T12:03:00.000Z","kr 840,16","2021-11-27T15:32:00.877Z"
"Deposit","100","USD","0","","5","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-10T12:03:00.000Z","kr 886,62","2021-11-27T15:32:00.877Z"
"Trade","97.38","USD","215.6869626","XRP","0.25","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T10:23:00.000Z","kr 863,39","2021-11-27T15:32:00.877Z"
"Trade","90.3","USD","200","XRP","0.23","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T10:23:00.000Z","kr 800,62","2021-11-27T15:32:00.877Z"
"Trade","99.91633719","XRP","44.46","USD","0.12","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:12:00.000Z","kr 394,19","2021-11-27T15:32:00.877Z"
"Trade","159.87446175","XRP","71.13","USD","0.18","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:12:00.000Z","kr 630,65","2021-11-27T15:32:00.877Z"
"Trade","159.87446175","XRP","71.13","USD","0.18","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:12:00.000Z","kr 630,65","2021-11-27T15:32:00.877Z"
"Trade","426.84684684","XRP","189.52","USD","0.48","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:15:00.000Z","kr 1 680,32","2021-11-27T15:32:00.877Z"
"Deposit","200","USD","0","","10","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-13T17:15:00.000Z","kr 1 773,24","2021-11-27T15:32:00.877Z"
"Deposit","2000","USD","0","","100","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-14T11:53:00.000Z","kr 17 732,38","2021-11-27T15:32:00.877Z"
"Trade","2.66066192","ETH","1896.44","USD","3.56","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-14T11:53:00.000Z","kr 16 814,20","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","2.66066192","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2017-12-14T16:55:00.000Z","","2021-11-27T15:32:00.897Z"
"Deposit","2.66066192","ETH","0","","0","","ETH Transaction","0xaf4f40063459d06f6cd9fa18ee8192fc170e0229af40b364e357d58f227df0c7-transfer-422672419","","ETH","","2017-12-14T16:58:27.000Z","kr 16 621,98","2022-01-16T13:12:36.926Z"
"Deposit","250","USD","0","","12.5","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 2 216,55","2021-11-27T15:32:00.877Z"
"Trade","0.32691342","ETH","207.87","USD","0.39","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 1 843,01","2021-11-27T15:32:00.877Z"
"Trade","0.02307883","ETH","14.59","USD","0.03","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 129,36","2021-11-27T15:32:00.877Z"
"Trade","0.02307883","ETH","14.59","USD","0.03","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-15T10:01:00.000Z","kr 129,36","2021-11-27T15:32:00.877Z"
"Deposit","0.00188453","ETH","0","","0","","ETH Transaction","0xaa366e0aa6a7b9173faa61b7f61d4a7dbbcc6bcbfb1374b5058e9edff8e21464-transfer-423189696","","ETH","","2017-12-15T10:09:37.000Z","kr 11,73","2022-05-26T18:40:55.132Z"
"Withdrawal","0","","1","ETH","0.00084","ETH","ETH Transaction","0x8bdb4cd360cf9c7e5f5c8ed335e5bf4606196e1da92929a4bc2f92ad5303310f","","ETH","","2017-12-17T09:21:57.000Z","","2022-01-16T13:12:32.488Z"
"Deposit","1","ETH","0","","0","","binance","0x8bdb4cd360cf9c7e5f5c8ed335e5bf4606196e1da92929a4bc2f92ad5303310f","","binance","","2017-12-17T09:22:28.000Z","kr 7 076,24","2022-05-14T21:44:57.735Z"
"Trade","1325","ADA","0.96707775","ETH","1.325","ADA","binance","209624","","binance","","2017-12-17T09:37:13.000Z","kr 5 587,08","2021-11-27T15:39:20.542Z"
"Trade","40","ADA","0.0291944","ETH","0.04","ADA","binance","209623","","binance","","2017-12-17T09:37:13.000Z","kr 168,67","2021-11-27T15:39:20.477Z"
"Deposit","0.992","ETH","0","","0","","Binance","","","1 transaction","","2017-12-17T22:22:00.000Z","kr 7 019,63","2022-05-14T20:10:30.733Z"
"Trade","0.119286","ETH","180","ADA","0.00011929","ETH","binance","258103","","binance","","2017-12-18T12:19:00.000Z","kr 844,10","2021-11-27T15:39:20.315Z"
"Trade","0.3440268","ETH","520","ADA","0.00034403","ETH","binance","258104","","binance","","2017-12-18T12:19:00.000Z","kr 2 434,42","2021-11-27T15:39:20.323Z"
"Withdrawal","0","","0.45657733","ETH","0.01","ETH","binance","17102572edb547ed88c9e43abf23dd53","","binance","","2017-12-18T12:21:11.000Z","","2021-11-27T15:39:19.782Z"
"Withdrawal","0","","662.635","ADA","1","ADA","binance","9f8bce84dc1a4c689e2d5f7c97957808","","binance","","2017-12-18T12:26:45.000Z","","2022-05-14T20:15:13.479Z"
"Deposit","0.45657733","ETH","0","","0","ETH","ETH Transaction","0x3e91b1231c626c1d033a7117b3ed18c98c10a9247bdb3e06a17add8e60e27689","","ETH","","2017-12-18T13:39:28.000Z","kr 3 359,88","2022-05-14T17:36:42.675Z"
"Deposit","0.45157733","ETH","0","","0","ETH","ETH Transaction","0x1510db1bdc6bd1a53da3b155b960f9a6b7f3c2d23c8a8ffcc5bfd62b3c4e1e28","","ETH","","2017-12-21T11:28:04.000Z","kr 3 254,61","2022-01-16T13:12:33.298Z"
"Withdrawal","0","","","ETH","0.00299349","ETH","ETH Transaction","0x68a15eb8f7f3ecc0dbccaedfb182150779a41cbb9ad856b26e275b548027a128","","ETH","Failed","2017-12-21T20:43:21.000Z","","2022-05-14T19:02:40.060Z"
"Withdrawal","0","","","ETH","0.00299349","ETH","ETH Transaction","0x8687dfc1af5a4149a519b378fd70cfa6cef904fc2f03b1a48928fc5d2ee02fc3","","ETH","","2017-12-21T20:44:55.000Z","","2022-05-14T19:06:05.069Z"
"Deposit","15435","AGI","0","","0","","ETH Transaction","0x255d70a603a813ad777eff11449194592bc6b63ee19822dafd742108e879eb5e-transfer-428596274","","ETH","","2017-12-21T20:52:15.000Z","","2022-01-16T13:12:34.965Z"
"Trade","15435","AGI","2.1","ETH","0.00341922","ETH","ETH Transaction","0x255d70a603a813ad777eff11449194592bc6b63ee19822dafd742108e879eb5e","","ETH","","2017-12-21T20:52:15.000Z","kr 12 461,26","2022-05-14T19:10:03.165Z"
"Trade","244.36304244","XRP","245.54","USD","0.62","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 2 177,00","2021-11-27T15:32:00.877Z"
"Deposit","500","USD","0","","25","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 4 433,09","2021-11-27T15:32:00.877Z"
"Trade","37.26518239","XRP","37.44","USD","0.1","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 331,95","2021-11-27T15:32:00.877Z"
"Trade","75.52140047","XRP","75.81","USD","0.19","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 672,15","2021-11-27T15:32:00.877Z"
"Trade","57.22526223","XRP","57.5","USD","0.15","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 509,81","2021-11-27T15:32:00.877Z"
"Trade","57.22526223","XRP","57.5","USD","0.15","USD","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:23:00.000Z","kr 509,81","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","500","XRP","0","","bitstamp","","","bitstamp_transactions.csv","","2017-12-22T11:26:00.000Z","","2021-11-27T15:32:00.952Z"
"Deposit","500","XRP","0","","0","","binance","580019F0836C72785F6EAA94BA63655B7AAC44B433A40D0EFAC36C83B7D41522","","binance","","2017-12-22T11:27:27.000Z","kr 4 902,38","2021-11-27T15:39:19.374Z"
"Trade","0.01056993","ETH","7","XRP","0.00001057","ETH","binance","596550","","binance","","2017-12-22T11:28:47.000Z","kr 62,72","2021-11-27T15:39:20.304Z"
"Trade","0.260192","ETH","173","XRP","0.00026019","ETH","binance","596551","","binance","","2017-12-22T11:28:47.000Z","kr 1 543,96","2021-11-27T15:39:20.308Z"
"Trade","0.4851104","ETH","320","XRP","0.00048511","ETH","binance","596549","","binance","","2017-12-22T11:28:47.000Z","kr 2 878,61","2021-11-27T15:39:20.307Z"
"Trade","1278","ADA","0.7549785","ETH","1.278","ADA","binance","394023","","binance","","2017-12-22T11:29:08.000Z","kr 4 698,02","2021-11-27T15:39:20.326Z"
"Spend","","USD","","ADA","1","ADA","binance","bc5d39860cd1410b8891db8052c2c815","","binance","","2017-12-22T12:00:27.000Z","","2022-05-14T20:14:45.887Z"
"Lost","0","","20","XRP","0","","","","","1 transaction","Fee for opening wallet","2017-12-24T00:00:00.000Z","","2022-05-14T20:20:23.471Z"
"Withdrawal","0","","818.112257","XRP","0","","bitstamp","","","bitstamp_transactions.csv","","2017-12-24T11:39:00.000Z","","2021-11-27T15:32:02.047Z"
"Deposit","818.112257","XRP","0","","0.06","XRP","XRP Transaction","B9AED83C711EF0D15BA89677475B10A1B7DC2776AFD8DEA668A9DEADB06E0383","","XRP","","2017-12-24T11:39:11.000Z","kr 8 126,72","2022-05-14T12:38:56.947Z"
"Withdrawal","0","","0.45655633","ETH","0.000021","ETH","ETH Transaction","0x36ff7220ba63245c611f60a908c8267cc2187f85df10d12cbf56387b1bbbff5b","","ETH","","2017-12-26T08:35:49.000Z","","2022-05-14T17:36:42.675Z"
"Trade","0.50740531","ETH","473.79","USD","1.19","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-04T10:52:00.000Z","kr 4 200,71","2021-11-27T15:32:00.877Z"
"Deposit","500","USD","0","","25","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-04T10:52:00.000Z","kr 4 433,09","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","0.03","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2018-01-04T10:59:00.000Z","","2021-11-27T15:32:00.949Z"
"Deposit","0.03","ETH","0","","0","","kucoin","0x533f8b62623400915637ba1d286d69cb1666d795ca1c9109d993a98dd3098874","","kucoin","","2018-01-04T18:42:31.000Z","kr 260,24","2021-11-27T15:24:34.992Z"
"Trade","0.02957615","BTC","473.81","USD","1.19","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-05T14:57:00.000Z","kr 4 200,89","2021-11-27T15:32:00.877Z"
"Deposit","500","USD","0","","25","USD","bitstamp","","","bitstamp_transactions.csv","","2018-01-05T14:57:00.000Z","kr 4 433,09","2021-11-27T15:32:00.877Z"
"Withdrawal","0","","0.47740531","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2018-01-05T16:55:00.000Z","","2021-11-27T15:32:00.950Z"
"Deposit","0.47740531","ETH","0","","0","","kucoin","0xf015d91956a9520e75732b8b4273759e0439a6a02d5d22a4228f1680fd6f310d","","kucoin","","2018-01-05T17:19:19.000Z","kr 4 253,49","2021-11-27T15:24:35.068Z"
"Trade","0.31054894","ETH","0.02950215","BTC","0.000074","BTC","bitstamp","","","bitstamp_transactions.csv","","2018-01-10T09:17:00.000Z","kr 3 704,92","2021-11-27T15:32:01.311Z"
"Withdrawal","0","","0.31054894","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2018-01-10T09:26:00.000Z","","2021-11-27T15:32:00.951Z"
"Deposit","0.31054894","ETH","0","","0","","kucoin","0xe462d962cf6b9877db653555918ae44f1daa4557337b0008a3358484be2be289","","kucoin","","2018-01-10T09:29:57.000Z","kr 3 704,92","2021-11-27T15:24:35.043Z"
"Withdrawal","0","","6249.929999999999","VET","0","","kucoin","0x4816e9facd859256a8b42de9a0d4ac466929f002ceeb5eee7bf3390dd37b6e66","","kucoin","","2018-01-30T19:32:46.000Z","","2021-11-27T15:24:35.353Z"
"Deposit","0.38084","ETH","0","","0","ETH","ETH Transaction","0x156db6b1a57bb313f9e4255998116fe28597bbee8e19d09d6ecc01df91e7d1eb","","ETH","","2018-01-30T19:42:29.000Z","kr 3 923,30","2022-01-16T13:12:35.905Z"
"Deposit","6249.929999999999","VET","0","","0","","ETH Transaction","0x4816e9facd859256a8b42de9a0d4ac466929f002ceeb5eee7bf3390dd37b6e66-transfer-315254143","","ETH","","2018-01-30T19:43:11.000Z","","2022-01-16T13:12:37.294Z"
"Airdrop","7.77","VIN","0","USD","0","","ETH Transaction","0x68d3d8b072e0018aed155894887e416922d9b62bf46c41f5c80074f96f3b8894-transfer-352287779","","ETH","","2018-03-11T13:16:20.000Z","","2022-05-14T13:27:41.648Z"
"Airdrop","911","","0","USD","0","","ETH Transaction","0x8627227b35f6928b732f5fc5fd0264588e28113a2e3b36004922ab5401684cee-transfer-402953928","","ETH","","2018-06-16T11:46:20.000Z","","2022-05-14T13:30:13.154Z"
"Airdrop","3","","0","USD","0","","ETH Transaction","0xa596f651a52133ef565029e3030834aaa67c76d9230dc5e98971bb0ac16c21f9-transfer-369990907","","ETH","","2018-06-20T01:21:55.000Z","","2022-05-14T13:27:41.649Z"
"Airdrop","2.122292030556517","","0","USD","0","","ETH Transaction","0x7470e4b973e5e07ed874b4ec00d010a6a7566ee1bd81cfe82fd4c12b9e7436e0-transfer-42870630","","ETH","","2018-09-19T15:01:21.000Z","","2022-05-14T13:27:41.649Z"
"Airdrop","365","","0","USD","0","","ETH Transaction","0xb59d0d1b0b492b8c60b28b8bf1a7bf40b800f4818e7ecf79cf8c8a1861aa223c-transfer-76243859","","ETH","","2018-11-12T01:39:57.000Z","","2022-05-14T13:27:41.649Z"
"Deposit","1101.203","USD","0","","0","","bitstamp","","","bitstamp_transactions.csv","","2019-11-25T16:15:00.000Z","kr 9 763,48","2021-11-27T15:32:01.001Z"
"Trade","3.863","ETH","509.3212644","USD","2.5502814","USD","bitstamp","","","bitstamp_transactions.csv","","2019-12-16T19:13:00.000Z","kr 4 515,74","2021-11-27T15:32:01.123Z"
"Trade","0.0007707","ETH","0.1002294","USD","0.0111366","USD","bitstamp","","","bitstamp_transactions.csv","","2019-12-16T19:13:00.000Z","kr 0,89","2021-11-27T15:32:01.121Z"
"Trade","4.518","ETH","595.6855974","USD","2.984608800000001","USD","bitstamp","","","bitstamp_transactions.csv","","2019-12-16T19:13:00.000Z","kr 5 281,46","2021-11-27T15:32:01.119Z"
"Withdrawal","0","","0.1","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2019-12-16T19:19:00.000Z","","2021-11-27T15:32:00.952Z"
"Deposit","0.1","ETH","0","","0","","ETH Transaction","0x52f8fc9bc4ffc74a91eba40f22af6de8108e885f02c375613961569ffa0fe54d-transfer-140712310","","ETH","","2019-12-16T19:19:25.000Z","kr 126,09","2022-01-16T13:12:37.025Z"
"Deposit","0.1","ETH","0","","0","","ETH Transaction","0x52f8fc9bc4ffc74a91eba40f22af6de8108e885f02c375613961569ffa0fe54d-transfer-1640456972","","ETH","","2019-12-16T19:19:25.000Z","kr 117,67","2022-05-26T18:40:55.838Z"
"Withdrawal","0","","8.2797707","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2019-12-16T19:22:00.000Z","","2021-11-27T15:32:00.953Z"
"Deposit","8.2797707","ETH","0","","0","","ETH Transaction","0x34d4ced1737b67f1fd486f126bbc0800f594e584c0a5ed60158dde1707bf1618-transfer-1640452657","","ETH","","2019-12-16T19:22:37.000Z","kr 9 743,18","2022-05-26T18:40:55.838Z"
"Deposit","8.2797707","ETH","0","","0","","ETH Transaction","0x34d4ced1737b67f1fd486f126bbc0800f594e584c0a5ed60158dde1707bf1618-transfer-140713039","","ETH","","2019-12-16T19:22:37.000Z","kr 10 439,70","2022-01-16T13:12:37.003Z"
"Deposit","1111.543","USD","0","","0","","bitstamp","","","bitstamp_transactions.csv","","2019-12-18T16:00:00.000Z","kr 9 855,15","2021-11-27T15:32:00.999Z"
"Trade","1.2116244","ETH","272.9569368","USD","1.3682875","USD","bitstamp","","","bitstamp_transactions.csv","","2020-02-08T13:47:00.000Z","kr 2 420,09","2021-11-27T15:32:01.122Z"
"Trade","0.80360824","ETH","202.788387","USD","1.0190916","USD","bitstamp","","","bitstamp_transactions.csv","","2020-02-16T17:41:00.000Z","kr 1 797,96","2021-11-27T15:32:01.124Z"
"Deposit","1.083779","USD","0","","0","","coinbase","a3f5c4f5-d683-5619-a8e3-9bb94ae253cd","","coinbase","","2020-02-17T14:13:26.000Z","kr 9,61","2021-11-27T15:09:19.235Z"
"Deposit","1083.779","USD","0","","0","","coinbase","c69f52a3-b486-5a3a-a4a1-28f993891fb1","","coinbase","","2020-02-17T14:51:04.000Z","kr 9 608,99","2021-11-27T15:09:19.237Z"
"Trade","61.94027978","LINK","266.96728107","USD","3.97746893","USD","coinbase","ea2e2706-457a-5d39-a100-97877ca277b6","","coinbase","","2020-02-17T16:37:20.000Z","kr 2 366,98","2022-01-16T13:16:27.360Z"
"Deposit","0.00027","XRP","0","","0.000012","XRP","XRP Transaction","AC788077EB9AE2C3631659EF6D3B1EB285275560D31E0C98D2AA8804F00B1DEB","","XRP","","2020-02-19T18:18:51.000Z","kr 0,00","2022-05-14T12:38:56.947Z"
"Trade","151.19077679","LINK","536.038713","USD","7.986287","USD","coinbase","59e433f4-f809-5aae-935a-9ffcb71ab314","","coinbase","","2020-02-25T17:19:54.000Z","kr 4 752,62","2022-01-16T13:16:27.372Z"
"Trade","2.44513177","ETH","610.700704","USD","3.0574205","USD","bitstamp","","","bitstamp_transactions.csv","","2020-02-25T17:22:00.000Z","kr 5 414,59","2021-11-27T15:32:01.125Z"
"Trade","77.3584735","LINK","269.21375568","USD","4.00576832","USD","coinbase","8684b87d-bb26-5cfc-afc0-be5d7a936045","","coinbase","","2020-02-26T12:15:56.000Z","kr 2 386,90","2022-01-16T13:16:27.370Z"
"Withdrawal","0","","4.45936441","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2020-02-26T12:47:00.000Z","","2021-11-27T15:32:00.952Z"
"Deposit","4.45936441","ETH","0","","0","","ETH Transaction","0xded56bf8c1d1f7d44d9709fcee31d750da92afdffe24203a29c0e68415472466-transfer-1680659727","","ETH","","2020-02-26T12:47:40.000Z","kr 8 888,46","2022-05-26T18:40:55.838Z"
"Deposit","4.45936441","ETH","0","","0","","ETH Transaction","0xded56bf8c1d1f7d44d9709fcee31d750da92afdffe24203a29c0e68415472466-transfer-109972632","","ETH","","2020-02-26T12:47:40.000Z","kr 9 817,87","2022-01-16T13:12:37.184Z"
"Withdrawal","0","","1","LINK","0","","coinbase","71ebd7f8-c192-59e0-aa91-f2b32b93951c","","coinbase","","2020-02-26T12:49:53.000Z","","2021-11-27T15:09:18.975Z"
"Deposit","1","LINK","0","","0","","ETH Transaction","0x680960a6f5917455427d12765115312f76e84c1c6f6d90645fb8416eb889c146-transfer-1680662235","","ETH","","2020-02-26T12:51:37.000Z","kr 32,02","2022-05-26T18:40:55.838Z"
"Deposit","1","LINK","0","","0","","ETH Transaction","0x680960a6f5917455427d12765115312f76e84c1c6f6d90645fb8416eb889c146-transfer-109975165","","ETH","","2020-02-26T12:51:37.000Z","kr 31,14","2022-01-16T13:12:36.885Z"
"Withdrawal","0","","289.48953007","LINK","0","","coinbase","658f75e8-3b7d-5f71-b304-53965b4113d0","","coinbase","","2020-02-26T13:04:38.000Z","","2021-11-27T15:09:19.016Z"
"Deposit","289.48953007","LINK","0","","0","","ETH Transaction","0x52a96b477814630929e131b4cb1b1abab3de1aa5423a0c7b83401d23e4b68417-transfer-1680668619","","ETH","","2020-02-26T13:06:14.000Z","kr 9 270,16","2022-05-26T18:40:55.838Z"
"Deposit","289.48953007","LINK","0","","0","","ETH Transaction","0x52a96b477814630929e131b4cb1b1abab3de1aa5423a0c7b83401d23e4b68417-transfer-109984876","","ETH","","2020-02-26T13:06:14.000Z","kr 9 016,02","2022-01-16T13:12:37.203Z"
"Deposit","559.184","USD","0","","0","","coinbase","a4a5c689-ebe4-503a-a7f4-b9af20075604","","coinbase","","2020-03-12T11:54:58.000Z","kr 4 957,83","2021-11-27T15:09:19.236Z"
"Trade","100.78420495","LINK","275.48758944","USD","4.10441056","USD","coinbase","dddb7183-a0bc-5246-a357-696b6a1c5c8d","","coinbase","","2020-03-12T12:35:50.000Z","kr 2 442,53","2022-01-16T13:16:27.235Z"
"Trade","4.35152628","ETH","552.16064896","USD","2.76236896","USD","bitstamp","","","bitstamp_transactions.csv","","2020-03-12T13:45:00.000Z","kr 4 895,56","2021-11-27T15:32:01.164Z"
"Deposit","1118.368","USD","0","","0","","bitstamp","","","bitstamp_transactions.csv","","2020-03-12T13:45:00.000Z","kr 9 915,66","2021-11-27T15:32:00.995Z"
"Trade","2.39138435","ETH","274.4485695","USD","4.0889305","USD","coinbase","1293f90c-2872-599d-8d7f-87bc8ab12507","","coinbase","","2020-03-13T00:02:56.000Z","kr 2 433,31","2022-01-16T13:16:27.235Z"
"Withdrawal","0","","2.39138435","ETH","0","","coinbase","3918defe-ebe2-57e8-abc4-dee026ba462b","","coinbase","","2020-03-13T10:15:35.000Z","","2021-11-27T15:09:19.862Z"
"Deposit","2.39022935","ETH","0","","0","ETH","ETH Transaction","0xc01770a75dfb2245d2dcbeb947b7f9a830f657d193e18ccd0c8b6aeff0c29513","","ETH","","2020-03-13T10:16:10.000Z","kr 2 343,82","2022-01-16T13:12:36.085Z"
"Withdrawal","0","","100.78420495","LINK","0","","coinbase","afb1d750-d212-59d4-a4e3-ee6a403c3f36","","coinbase","","2020-03-13T10:16:43.000Z","","2021-11-27T15:09:19.146Z"
"Deposit","100.78420495","LINK","0","","0","","ETH Transaction","0x6651c4f18ffbe2909cd868007c1cbf718cfea2ce9808669ed1601918113a95cf-transfer-1689766152","","ETH","","2020-03-13T10:18:27.000Z","kr 2 167,24","2022-05-26T18:40:55.838Z"
"Deposit","100.78420495","LINK","0","","0","","ETH Transaction","0x6651c4f18ffbe2909cd868007c1cbf718cfea2ce9808669ed1601918113a95cf-transfer-58167964","","ETH","","2020-03-13T10:18:27.000Z","kr 1 764,29","2022-01-16T13:12:36.905Z"
"Trade","0.00000454","ETH","0","USD","0.01102615","USD","bitstamp","","","bitstamp_transactions.csv","","2020-03-31T14:05:00.000Z","kr 0,01","2021-11-27T15:32:01.382Z"
"Trade","4.12932","ETH","552.7408995","USD","2.76756365","USD","bitstamp","","","bitstamp_transactions.csv","","2020-03-31T14:05:00.000Z","kr 4 900,71","2021-11-27T15:32:01.159Z"
"Withdrawal","0","","8.47985082","ETH","0","","bitstamp","","","bitstamp_transactions.csv","","2020-03-31T14:08:00.000Z","","2021-11-27T15:32:00.970Z"
"Deposit","8.47985082","ETH","0","","0","","ETH Transaction","0x741f1c5878ca28b215d4cb92b9ebce91c5923d65f9e1b383066e4dd1608bbedd-transfer-1701295078","","ETH","","2020-03-31T14:09:03.000Z","kr 10 017,24","2022-05-26T18:40:55.838Z"
"Deposit","8.47985082","ETH","0","","0","","ETH Transaction","0x741f1c5878ca28b215d4cb92b9ebce91c5923d65f9e1b383066e4dd1608bbedd-transfer-30337742","","ETH","","2020-03-31T14:09:03.000Z","kr 9 951,63","2022-01-16T13:12:37.205Z"
"Airdrop","3","REV","0","USD","0","","ETH Transaction","0xbb156e9e2a54f0b9bb4ddd1300d890961e3ecd40ec78823cb94af03012752044-transfer-31148648","","ETH","","2020-04-01T09:29:56.000Z","","2022-05-14T13:34:37.911Z"
"Spend","0","USD","0","ETH","0.0001347","ETH","ETH Transaction","0x7153dc4d8a1cdee4af66441afb96cb8a80068e88d34c0aa1bad8ece3fbcdb89e","","ETH","","2020-04-07T17:26:04.000Z","","2022-01-16T13:12:36.504Z"
"Withdrawal","0","","15435","AGI","0.0005411112","ETH","ETH Transaction","0x4bc65c59fcd16b8021d8f0acf9820c31bc109ab89e4ba0162204f3c762ebe0c7-transfer-1705505970","","ETH","","2020-04-07T17:27:24.000Z","","2022-05-26T18:40:55.838Z"
"Withdrawal","0","","15435","AGI","0.0005411112","ETH","ETH Transaction","0x4bc65c59fcd16b8021d8f0acf9820c31bc109ab89e4ba0162204f3c762ebe0c7-transfer-231722406","","ETH","","2020-04-07T17:27:24.000Z","","2022-01-16T13:12:35.065Z"
"Airdrop","32000","MNE","278.7152517696825","USD","0","","ETH Transaction","0xb9e2dd8ed258d09255d63cca511f12fba91edde8a4de165f914b3dae833d6919-transfer-400734088","","ETH","","2020-04-11T23:09:24.000Z","kr 2 471,14","2022-05-14T13:27:41.649Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0x83232a656de8872c62e574c4f823ed2bfcf3567cb33069b26dd8986e5df6335b","","ETH","","2020-04-15T11:57:10.000Z","","2022-01-16T13:12:32.484Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0xfa5b18c602d0ed29f3a73488bfc100ac12bb1c3fe26255eb381008842833ab35","","ETH","","2020-04-15T11:58:14.000Z","","2022-01-16T13:12:32.489Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0xe8a12a4b6559a499dcd1c17715e2cdbabca5f33de6ea4d446b6d8cb8d1de2328","","ETH","","2020-04-15T11:58:14.000Z","","2022-01-16T13:12:32.725Z"
"Spend","0","USD","0","ETH","0.00026193","ETH","ETH Transaction","0xd6153b8414fe6c7a7535038378c07be36c0de9cd58910756f1de38d4d3263c1b","","ETH","","2020-04-15T11:58:14.000Z","","2022-01-16T13:12:32.448Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0x297006f0194c311b6a6b22fe21a5848d68c0c262ebddf03ca548c2d278ef4019","","ETH","","2020-04-15T11:58:32.000Z","","2022-01-16T13:12:32.684Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0x5f6bf531c41e7ba8a62e427be8642a5e61e9ea203b374d7832427c0030ffebb8","","ETH","","2020-04-15T11:59:06.000Z","","2022-01-16T13:12:32.722Z"
"Trade","1","ENTRA.ETH","0.0313255817544065","ETH","0.001534896","ETH","ENS","0xb98fe490d07626cee96bf8059ac56299ed4b52a5b1016ff4e5f2218b573df4b2","","ETH","","2020-04-15T11:59:15.000Z","kr 43,96","2022-01-16T13:12:35.804Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0x16123c588d058fc972624d217d6c039281ae154d15092222dfdc2ff356a36af4","","ETH","","2020-04-15T11:59:19.000Z","","2022-01-16T13:12:32.765Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0x8fa8cae34754702ae3133b3c3fc1fa6fa6b5d47727e5ad97a074fb0848cdbf42","","ETH","","2020-04-15T11:59:51.000Z","","2022-01-16T13:12:32.765Z"
"Spend","0","USD","0","ETH","0.000262002","ETH","ETH Transaction","0xf412c2b37c9ad11694305970476b18a80735defec645266ef1f76559faa6f690","","ETH","","2020-04-15T12:00:00.000Z","","2022-01-16T13:12:32.685Z"
"Trade","1","ELKEM.ETH","0.0313255817544065","ETH","0.001444896","ETH","ENS","0xacd6db3de54e47c48c117d7ff0f12f5cef7cd3d467e6e9e0934794a206c753da","","ETH","","2020-04-15T12:01:46.000Z","kr 43,96","2022-01-16T13:12:35.865Z"
